"","id","group","year","wasi_fsiq2"
"M106.Music.Y3","M106","Music","Y3",99
"M107.Music.Y3","M107","Music","Y3",80
"M108.Music.Y3","M108","Music","Y3",113
"M109.Music.Y3","M109","Music","Y3",109
"M112.Music.Y3","M112","Music","Y3",103
"M113.Music.Y3","M113","Music","Y3",82
"S101.Sport.Y3","S101","Sport","Y3",84
"S103.Sport.Y3","S103","Sport","Y3",98
"S104.Sport.Y3","S104","Sport","Y3",84
"S105.Sport.Y3","S105","Sport","Y3",97
"S107.Sport.Y3","S107","Sport","Y3",94
"S108.Sport.Y3","S108","Sport","Y3",84
"S109.Sport.Y3","S109","Sport","Y3",94
"S110.Sport.Y3","S110","Sport","Y3",85
"S111.Sport.Y3","S111","Sport","Y3",89
"S114.Sport.Y3","S114","Sport","Y3",89
"S117.Sport.Y3","S117","Sport","Y3",93
"C101.Control.Y3","C101","Control","Y3",86
"C102.Control.Y3","C102","Control","Y3",96
"C107.Control.Y3","C107","Control","Y3",110
"C108.Control.Y3","C108","Control","Y3",108
"C109.Control.Y3","C109","Control","Y3",84
"C111.Control.Y3","C111","Control","Y3",84
"C112.Control.Y3","C112","Control","Y3",79
"C113.Control.Y3","C113","Control","Y3",102
"C114.Control.Y3","C114","Control","Y3",100
"C116.Control.Y3","C116","Control","Y3",102
"C104.Control.Y3","C104","Control","Y3",NA
"M105.Music.Y3","M105","Music","Y3",86
"S112.Sport.Y3","S112","Sport","Y3",110
"C115.Control.Y3","C115","Control","Y3",NA
"M101.Music.Y3","M101","Music","Y3",NA
"M104.Music.Y3","M104","Music","Y3",NA
"M110.Music.Y3","M110","Music","Y3",NA
"M111.Music.Y3","M111","Music","Y3",NA
"S106.Sport.Y3","S106","Sport","Y3",NA
"C106.Control.Y3","C106","Control","Y3",NA
"M02.Music.Y3","M02","Music","Y3",94
"M04.Music.Y3","M04","Music","Y3",103
"M05.Music.Y3","M05","Music","Y3",125
"M06.Music.Y3","M06","Music","Y3",105
