"","id","group","year","mep_total"
"S108.Sport.Y7","S108","Sport","Y7",4
"S109.Sport.Y7","S109","Sport","Y7",NA
"S110.Sport.Y7","S110","Sport","Y7",2
"S111.Sport.Y7","S111","Sport","Y7",3
"S114.Sport.Y7","S114","Sport","Y7",NA
"S117.Sport.Y7","S117","Sport","Y7",3
"C101.Control.Y7","C101","Control","Y7",3
"C102.Control.Y7","C102","Control","Y7",1
"C107.Control.Y7","C107","Control","Y7",4
"C108.Control.Y7","C108","Control","Y7",4
"C109.Control.Y7","C109","Control","Y7",NA
"C111.Control.Y7","C111","Control","Y7",3
"C112.Control.Y7","C112","Control","Y7",2
"C113.Control.Y7","C113","Control","Y7",3
"C114.Control.Y7","C114","Control","Y7",NA
"C116.Control.Y7","C116","Control","Y7",NA
"C104.Control.Y7","C104","Control","Y7",NA
"M105.Music.Y7","M105","Music","Y7",NA
"S112.Sport.Y7","S112","Sport","Y7",NA
"C115.Control.Y7","C115","Control","Y7",NA
"M101.Music.Y7","M101","Music","Y7",NA
"M104.Music.Y7","M104","Music","Y7",NA
"M110.Music.Y7","M110","Music","Y7",NA
"M111.Music.Y7","M111","Music","Y7",NA
"S106.Sport.Y7","S106","Sport","Y7",NA
"C106.Control.Y7","C106","Control","Y7",NA
"M02.Music.Y7","M02","Music","Y7",3
"M04.Music.Y7","M04","Music","Y7",2
"M05.Music.Y7","M05","Music","Y7",4
"M06.Music.Y7","M06","Music","Y7",4
"M07.Music.Y7","M07","Music","Y7",3
"M09.Music.Y7","M09","Music","Y7",NA
"M10.Music.Y7","M10","Music","Y7",4
"M12.Music.Y7","M12","Music","Y7",4
"M17.Music.Y7","M17","Music","Y7",NA
"S01.Sport.Y7","S01","Sport","Y7",3
"S04.Sport.Y7","S04","Sport","Y7",3
"S07.Sport.Y7","S07","Sport","Y7",4
"S08.Sport.Y7","S08","Sport","Y7",3
"S17.Sport.Y7","S17","Sport","Y7",NA
"S28.Sport.Y7","S28","Sport","Y7",4
"S31.Sport.Y7","S31","Sport","Y7",1
"C02.Control.Y7","C02","Control","Y7",4
"C03.Control.Y7","C03","Control","Y7",2
"C04.Control.Y7","C04","Control","Y7",2
"C07.Control.Y7","C07","Control","Y7",4
"C08.Control.Y7","C08","Control","Y7",1
"C17.Control.Y7","C17","Control","Y7",2
"C19.Control.Y7","C19","Control","Y7",3
"M01.Music.Y7","M01","Music","Y7",NA
"M03.Music.Y7","M03","Music","Y7",NA
"M11.Music.Y7","M11","Music","Y7",NA
"M15.Music.Y7","M15","Music","Y7",NA
"S05.Sport.Y7","S05","Sport","Y7",NA
"S10.Sport.Y7","S10","Sport","Y7",NA
"S14.Sport.Y7","S14","Sport","Y7",NA
"S22.Sport.Y7","S22","Sport","Y7",NA
"C01.Control.Y7","C01","Control","Y7",NA
"C05.Control.Y7","C05","Control","Y7",NA
"C06.Control.Y7","C06","Control","Y7",NA
"C11.Control.Y7","C11","Control","Y7",NA
"C12.Control.Y7","C12","Control","Y7",NA
"C18.Control.Y7","C18","Control","Y7",NA
"M08.Music.Y7","M08","Music","Y7",NA
"C10.Control.Y7","C10","Control","Y7",NA
"C16.Control.Y7","C16","Control","Y7",NA
"S15.Sport.Y7","S15","Sport","Y7",NA
"S21.Sport.Y7","S21","Sport","Y7",NA
"C09.Control.Y7","C09","Control","Y7",NA
"S02.Sport.Y7","S02","Sport","Y7",NA
"S32.Sport.Y7","S32","Sport","Y7",NA
