"","id","group","year","wasi_vci"
"C113.Control.Y3","C113","Control","Y3",99
"C114.Control.Y3","C114","Control","Y3",94
"C116.Control.Y3","C116","Control","Y3",94
"C104.Control.Y3","C104","Control","Y3",NA
"M105.Music.Y3","M105","Music","Y3",99
"S112.Sport.Y3","S112","Sport","Y3",108
"C115.Control.Y3","C115","Control","Y3",NA
"M101.Music.Y3","M101","Music","Y3",NA
"M104.Music.Y3","M104","Music","Y3",NA
"M110.Music.Y3","M110","Music","Y3",NA
"M111.Music.Y3","M111","Music","Y3",NA
"S106.Sport.Y3","S106","Sport","Y3",NA
"C106.Control.Y3","C106","Control","Y3",NA
"M02.Music.Y3","M02","Music","Y3",101
"M04.Music.Y3","M04","Music","Y3",102
"M05.Music.Y3","M05","Music","Y3",111
"M06.Music.Y3","M06","Music","Y3",100
"M07.Music.Y3","M07","Music","Y3",99
"M09.Music.Y3","M09","Music","Y3",119
"M10.Music.Y3","M10","Music","Y3",99
"M12.Music.Y3","M12","Music","Y3",94
"M17.Music.Y3","M17","Music","Y3",105
"S01.Sport.Y3","S01","Sport","Y3",105
"S04.Sport.Y3","S04","Sport","Y3",106
"S07.Sport.Y3","S07","Sport","Y3",82
"S08.Sport.Y3","S08","Sport","Y3",114
"S17.Sport.Y3","S17","Sport","Y3",114
"S28.Sport.Y3","S28","Sport","Y3",110
"S31.Sport.Y3","S31","Sport","Y3",129
"C02.Control.Y3","C02","Control","Y3",105
"C03.Control.Y3","C03","Control","Y3",93
"C04.Control.Y3","C04","Control","Y3",113
"C07.Control.Y3","C07","Control","Y3",103
"C08.Control.Y3","C08","Control","Y3",81
"C17.Control.Y3","C17","Control","Y3",103
"C19.Control.Y3","C19","Control","Y3",90
"M01.Music.Y3","M01","Music","Y3",127
"M03.Music.Y3","M03","Music","Y3",94
"M11.Music.Y3","M11","Music","Y3",84
"M15.Music.Y3","M15","Music","Y3",94
"S05.Sport.Y3","S05","Sport","Y3",112
"S10.Sport.Y3","S10","Sport","Y3",101
"S14.Sport.Y3","S14","Sport","Y3",113
"S22.Sport.Y3","S22","Sport","Y3",93
"C01.Control.Y3","C01","Control","Y3",96
"C05.Control.Y3","C05","Control","Y3",123
"C06.Control.Y3","C06","Control","Y3",93
"C11.Control.Y3","C11","Control","Y3",88
"C12.Control.Y3","C12","Control","Y3",94
"C18.Control.Y3","C18","Control","Y3",134
"M08.Music.Y3","M08","Music","Y3",NA
"C10.Control.Y3","C10","Control","Y3",NA
"C16.Control.Y3","C16","Control","Y3",NA
"S15.Sport.Y3","S15","Sport","Y3",NA
"S21.Sport.Y3","S21","Sport","Y3",NA
"C09.Control.Y3","C09","Control","Y3",NA
"S02.Sport.Y3","S02","Sport","Y3",NA
"S32.Sport.Y3","S32","Sport","Y3",NA
"M102.Music.Y4","M102","Music","Y4",104
"M106.Music.Y4","M106","Music","Y4",85
"M107.Music.Y4","M107","Music","Y4",70
"M108.Music.Y4","M108","Music","Y4",122
"M109.Music.Y4","M109","Music","Y4",105
"M112.Music.Y4","M112","Music","Y4",108
"M113.Music.Y4","M113","Music","Y4",84
