"","id","group","year","wasi_pri"
"M101.Music.Y4","M101","Music","Y4",NA
"M104.Music.Y4","M104","Music","Y4",NA
"M110.Music.Y4","M110","Music","Y4",NA
"M111.Music.Y4","M111","Music","Y4",NA
"S106.Sport.Y4","S106","Sport","Y4",NA
"C106.Control.Y4","C106","Control","Y4",NA
"M02.Music.Y4","M02","Music","Y4",102
"M04.Music.Y4","M04","Music","Y4",92
"M05.Music.Y4","M05","Music","Y4",120
"M06.Music.Y4","M06","Music","Y4",95
"M07.Music.Y4","M07","Music","Y4",115
"M09.Music.Y4","M09","Music","Y4",126
"M10.Music.Y4","M10","Music","Y4",122
"M12.Music.Y4","M12","Music","Y4",91
"M17.Music.Y4","M17","Music","Y4",89
"S01.Sport.Y4","S01","Sport","Y4",92
"S04.Sport.Y4","S04","Sport","Y4",95
"S07.Sport.Y4","S07","Sport","Y4",86
"S08.Sport.Y4","S08","Sport","Y4",105
"S17.Sport.Y4","S17","Sport","Y4",94
"S28.Sport.Y4","S28","Sport","Y4",99
"S31.Sport.Y4","S31","Sport","Y4",103
"C02.Control.Y4","C02","Control","Y4",107
"C03.Control.Y4","C03","Control","Y4",97
"C04.Control.Y4","C04","Control","Y4",94
"C07.Control.Y4","C07","Control","Y4",85
"C08.Control.Y4","C08","Control","Y4",113
"C17.Control.Y4","C17","Control","Y4",106
"C19.Control.Y4","C19","Control","Y4",95
"M01.Music.Y4","M01","Music","Y4",126
"M03.Music.Y4","M03","Music","Y4",96
"M11.Music.Y4","M11","Music","Y4",90
"M15.Music.Y4","M15","Music","Y4",116
"S05.Sport.Y4","S05","Sport","Y4",104
"S10.Sport.Y4","S10","Sport","Y4",NA
"S14.Sport.Y4","S14","Sport","Y4",91
"S22.Sport.Y4","S22","Sport","Y4",108
"C01.Control.Y4","C01","Control","Y4",96
"C05.Control.Y4","C05","Control","Y4",98
"C06.Control.Y4","C06","Control","Y4",78
"C11.Control.Y4","C11","Control","Y4",NA
"C12.Control.Y4","C12","Control","Y4",82
"C18.Control.Y4","C18","Control","Y4",104
"M08.Music.Y4","M08","Music","Y4",NA
"C10.Control.Y4","C10","Control","Y4",NA
"C16.Control.Y4","C16","Control","Y4",NA
"S15.Sport.Y4","S15","Sport","Y4",NA
"S21.Sport.Y4","S21","Sport","Y4",NA
"C09.Control.Y4","C09","Control","Y4",NA
"S02.Sport.Y4","S02","Sport","Y4",NA
"S32.Sport.Y4","S32","Sport","Y4",NA
"M102.Music.Y5","M102","Music","Y5",92
"M106.Music.Y5","M106","Music","Y5",NA
"M107.Music.Y5","M107","Music","Y5",82
"M108.Music.Y5","M108","Music","Y5",105
"M109.Music.Y5","M109","Music","Y5",101
"M112.Music.Y5","M112","Music","Y5",NA
"M113.Music.Y5","M113","Music","Y5",84
"S101.Sport.Y5","S101","Sport","Y5",92
"S103.Sport.Y5","S103","Sport","Y5",97
"S104.Sport.Y5","S104","Sport","Y5",80
"S105.Sport.Y5","S105","Sport","Y5",100
"S107.Sport.Y5","S107","Sport","Y5",100
"S108.Sport.Y5","S108","Sport","Y5",96
"S109.Sport.Y5","S109","Sport","Y5",96
"S110.Sport.Y5","S110","Sport","Y5",86
"S111.Sport.Y5","S111","Sport","Y5",87
"S114.Sport.Y5","S114","Sport","Y5",92
"S117.Sport.Y5","S117","Sport","Y5",98
"C101.Control.Y5","C101","Control","Y5",99
"C102.Control.Y5","C102","Control","Y5",82
"C107.Control.Y5","C107","Control","Y5",125
"C108.Control.Y5","C108","Control","Y5",NA
"C109.Control.Y5","C109","Control","Y5",92
"C111.Control.Y5","C111","Control","Y5",92
"C112.Control.Y5","C112","Control","Y5",96
"C113.Control.Y5","C113","Control","Y5",111
"C114.Control.Y5","C114","Control","Y5",96
"C116.Control.Y5","C116","Control","Y5",120
"C104.Control.Y5","C104","Control","Y5",NA
"M105.Music.Y5","M105","Music","Y5",NA
"S112.Sport.Y5","S112","Sport","Y5",NA
"C115.Control.Y5","C115","Control","Y5",NA
"M101.Music.Y5","M101","Music","Y5",NA
"M104.Music.Y5","M104","Music","Y5",NA
"M110.Music.Y5","M110","Music","Y5",NA
"M111.Music.Y5","M111","Music","Y5",NA
"S106.Sport.Y5","S106","Sport","Y5",NA
"C106.Control.Y5","C106","Control","Y5",NA
"M02.Music.Y5","M02","Music","Y5",103
"M04.Music.Y5","M04","Music","Y5",88
"M05.Music.Y5","M05","Music","Y5",126
"M06.Music.Y5","M06","Music","Y5",116
"M07.Music.Y5","M07","Music","Y5",113
"M09.Music.Y5","M09","Music","Y5",135
"M10.Music.Y5","M10","Music","Y5",115
"M12.Music.Y5","M12","Music","Y5",100
"M17.Music.Y5","M17","Music","Y5",100
"S01.Sport.Y5","S01","Sport","Y5",97
"S04.Sport.Y5","S04","Sport","Y5",93
"S07.Sport.Y5","S07","Sport","Y5",83
"S08.Sport.Y5","S08","Sport","Y5",112
"S17.Sport.Y5","S17","Sport","Y5",95
"S28.Sport.Y5","S28","Sport","Y5",104
"S31.Sport.Y5","S31","Sport","Y5",109
"C02.Control.Y5","C02","Control","Y5",114
"C03.Control.Y5","C03","Control","Y5",108
"C04.Control.Y5","C04","Control","Y5",109
"C07.Control.Y5","C07","Control","Y5",92
"C08.Control.Y5","C08","Control","Y5",112
"C17.Control.Y5","C17","Control","Y5",104
"C19.Control.Y5","C19","Control","Y5",106
"M01.Music.Y5","M01","Music","Y5",130
"M03.Music.Y5","M03","Music","Y5",99
"M11.Music.Y5","M11","Music","Y5",96
"M15.Music.Y5","M15","Music","Y5",108
"S05.Sport.Y5","S05","Sport","Y5",106
"S10.Sport.Y5","S10","Sport","Y5",NA
"S14.Sport.Y5","S14","Sport","Y5",99
"S22.Sport.Y5","S22","Sport","Y5",110
"C01.Control.Y5","C01","Control","Y5",101
"C05.Control.Y5","C05","Control","Y5",NA
"C06.Control.Y5","C06","Control","Y5",79
"C11.Control.Y5","C11","Control","Y5",NA
"C12.Control.Y5","C12","Control","Y5",70
"C18.Control.Y5","C18","Control","Y5",119
"M08.Music.Y5","M08","Music","Y5",NA
"C10.Control.Y5","C10","Control","Y5",NA
"C16.Control.Y5","C16","Control","Y5",NA
"S15.Sport.Y5","S15","Sport","Y5",NA
"S21.Sport.Y5","S21","Sport","Y5",NA
"C09.Control.Y5","C09","Control","Y5",NA
"S02.Sport.Y5","S02","Sport","Y5",NA
"S32.Sport.Y5","S32","Sport","Y5",NA
"M102.Music.Y7","M102","Music","Y7",87
"M106.Music.Y7","M106","Music","Y7",NA
"M107.Music.Y7","M107","Music","Y7",NA
"M108.Music.Y7","M108","Music","Y7",98
"M109.Music.Y7","M109","Music","Y7",NA
"M112.Music.Y7","M112","Music","Y7",NA
"M113.Music.Y7","M113","Music","Y7",NA
"S101.Sport.Y7","S101","Sport","Y7",NA
"S103.Sport.Y7","S103","Sport","Y7",101
"S104.Sport.Y7","S104","Sport","Y7",NA
"S105.Sport.Y7","S105","Sport","Y7",103
"S107.Sport.Y7","S107","Sport","Y7",NA
"S108.Sport.Y7","S108","Sport","Y7",96
"S109.Sport.Y7","S109","Sport","Y7",NA
"S110.Sport.Y7","S110","Sport","Y7",89
"S111.Sport.Y7","S111","Sport","Y7",88
"S114.Sport.Y7","S114","Sport","Y7",NA
"S117.Sport.Y7","S117","Sport","Y7",84
"C101.Control.Y7","C101","Control","Y7",100
"C102.Control.Y7","C102","Control","Y7",87
"C107.Control.Y7","C107","Control","Y7",115
"C108.Control.Y7","C108","Control","Y7",83
"C109.Control.Y7","C109","Control","Y7",NA
"C111.Control.Y7","C111","Control","Y7",103
"C112.Control.Y7","C112","Control","Y7",100
"C113.Control.Y7","C113","Control","Y7",115
"C114.Control.Y7","C114","Control","Y7",NA
"C116.Control.Y7","C116","Control","Y7",NA
"C104.Control.Y7","C104","Control","Y7",NA
"M105.Music.Y7","M105","Music","Y7",NA
"S112.Sport.Y7","S112","Sport","Y7",NA
"C115.Control.Y7","C115","Control","Y7",NA
"M101.Music.Y7","M101","Music","Y7",NA
"M104.Music.Y7","M104","Music","Y7",NA
"M110.Music.Y7","M110","Music","Y7",NA
"M111.Music.Y7","M111","Music","Y7",NA
"S106.Sport.Y7","S106","Sport","Y7",NA
"C106.Control.Y7","C106","Control","Y7",NA
"M02.Music.Y7","M02","Music","Y7",103
"M04.Music.Y7","M04","Music","Y7",97
"M05.Music.Y7","M05","Music","Y7",122
"M06.Music.Y7","M06","Music","Y7",117
"M07.Music.Y7","M07","Music","Y7",111
"M09.Music.Y7","M09","Music","Y7",135
"M10.Music.Y7","M10","Music","Y7",119
"M12.Music.Y7","M12","Music","Y7",101
"M17.Music.Y7","M17","Music","Y7",98
"S01.Sport.Y7","S01","Sport","Y7",94
"S04.Sport.Y7","S04","Sport","Y7",120
"S07.Sport.Y7","S07","Sport","Y7",76
"S08.Sport.Y7","S08","Sport","Y7",112
"S17.Sport.Y7","S17","Sport","Y7",83
"S28.Sport.Y7","S28","Sport","Y7",96
"S31.Sport.Y7","S31","Sport","Y7",106
"C02.Control.Y7","C02","Control","Y7",103
"C03.Control.Y7","C03","Control","Y7",103
"C04.Control.Y7","C04","Control","Y7",112
"C07.Control.Y7","C07","Control","Y7",100
"C08.Control.Y7","C08","Control","Y7",117
"C17.Control.Y7","C17","Control","Y7",105
"C19.Control.Y7","C19","Control","Y7",99
"M01.Music.Y7","M01","Music","Y7",NA
"M03.Music.Y7","M03","Music","Y7",NA
"M11.Music.Y7","M11","Music","Y7",NA
"M15.Music.Y7","M15","Music","Y7",NA
"S05.Sport.Y7","S05","Sport","Y7",NA
"S10.Sport.Y7","S10","Sport","Y7",NA
"S14.Sport.Y7","S14","Sport","Y7",NA
"S22.Sport.Y7","S22","Sport","Y7",NA
"C01.Control.Y7","C01","Control","Y7",NA
"C05.Control.Y7","C05","Control","Y7",NA
"C06.Control.Y7","C06","Control","Y7",NA
"C11.Control.Y7","C11","Control","Y7",NA
"C12.Control.Y7","C12","Control","Y7",NA
"C18.Control.Y7","C18","Control","Y7",NA
"M08.Music.Y7","M08","Music","Y7",NA
"C10.Control.Y7","C10","Control","Y7",NA
"C16.Control.Y7","C16","Control","Y7",NA
"S15.Sport.Y7","S15","Sport","Y7",NA
"S21.Sport.Y7","S21","Sport","Y7",NA
"C09.Control.Y7","C09","Control","Y7",NA
"S02.Sport.Y7","S02","Sport","Y7",NA
"S32.Sport.Y7","S32","Sport","Y7",NA
