"","id","group","year","empathy_exact"
"C109.Control.Y2","C109","Control","Y2",0.833333333
"C111.Control.Y2","C111","Control","Y2",0
"C112.Control.Y2","C112","Control","Y2",0.833333333
"C113.Control.Y2","C113","Control","Y2",0.666666667
"C114.Control.Y2","C114","Control","Y2",0
"C116.Control.Y2","C116","Control","Y2",0.833333333
"C104.Control.Y2","C104","Control","Y2",0.833333333
"M105.Music.Y2","M105","Music","Y2",0.5
"S112.Sport.Y2","S112","Sport","Y2",0.833333333
"C115.Control.Y2","C115","Control","Y2",0.666666667
"M101.Music.Y2","M101","Music","Y2",0.5
"M104.Music.Y2","M104","Music","Y2",NA
"M110.Music.Y2","M110","Music","Y2",NA
"M111.Music.Y2","M111","Music","Y2",NA
"S106.Sport.Y2","S106","Sport","Y2",NA
"C106.Control.Y2","C106","Control","Y2",NA
"M02.Music.Y2","M02","Music","Y2",1
"M04.Music.Y2","M04","Music","Y2",1
"M05.Music.Y2","M05","Music","Y2",0.666666667
"M06.Music.Y2","M06","Music","Y2",0.333333333
"M07.Music.Y2","M07","Music","Y2",0.833333333
"M09.Music.Y2","M09","Music","Y2",0.833333333
"M10.Music.Y2","M10","Music","Y2",0.833333333
"M12.Music.Y2","M12","Music","Y2",0.833333333
"M17.Music.Y2","M17","Music","Y2",0.833333333
"S01.Sport.Y2","S01","Sport","Y2",0.333333333
"S04.Sport.Y2","S04","Sport","Y2",0
"S07.Sport.Y2","S07","Sport","Y2",0.833333333
"S08.Sport.Y2","S08","Sport","Y2",0.833333333
"S17.Sport.Y2","S17","Sport","Y2",0.833333333
"S28.Sport.Y2","S28","Sport","Y2",0.5
"S31.Sport.Y2","S31","Sport","Y2",0.833333333
"C02.Control.Y2","C02","Control","Y2",0.5
"C03.Control.Y2","C03","Control","Y2",0.166666667
"C04.Control.Y2","C04","Control","Y2",0.833333333
"C07.Control.Y2","C07","Control","Y2",0.5
"C08.Control.Y2","C08","Control","Y2",0.833333333
"C17.Control.Y2","C17","Control","Y2",0.5
"C19.Control.Y2","C19","Control","Y2",0.666666667
"M01.Music.Y2","M01","Music","Y2",0.833333333
"M03.Music.Y2","M03","Music","Y2",1
"M11.Music.Y2","M11","Music","Y2",0.333333333
"M15.Music.Y2","M15","Music","Y2",0.666666667
"S05.Sport.Y2","S05","Sport","Y2",1
"S10.Sport.Y2","S10","Sport","Y2",0.333333333
"S14.Sport.Y2","S14","Sport","Y2",0.666666667
"S22.Sport.Y2","S22","Sport","Y2",1
"C01.Control.Y2","C01","Control","Y2",0.5
"C05.Control.Y2","C05","Control","Y2",0.5
"C06.Control.Y2","C06","Control","Y2",1
"C11.Control.Y2","C11","Control","Y2",0.333333333
"C12.Control.Y2","C12","Control","Y2",0.666666667
"C18.Control.Y2","C18","Control","Y2",0.5
"M08.Music.Y2","M08","Music","Y2",0.6
"C10.Control.Y2","C10","Control","Y2",0.166666667
"C16.Control.Y2","C16","Control","Y2",0.833333333
"S15.Sport.Y2","S15","Sport","Y2",NA
"S21.Sport.Y2","S21","Sport","Y2",NA
"C09.Control.Y2","C09","Control","Y2",NA
"S02.Sport.Y2","S02","Sport","Y2",NA
"S32.Sport.Y2","S32","Sport","Y2",NA
"M102.Music.Y3","M102","Music","Y3",0.5
"M106.Music.Y3","M106","Music","Y3",0.833333333
"M107.Music.Y3","M107","Music","Y3",1
"M108.Music.Y3","M108","Music","Y3",1
"M109.Music.Y3","M109","Music","Y3",1
"M112.Music.Y3","M112","Music","Y3",0.8
"M113.Music.Y3","M113","Music","Y3",0.666666667
"S101.Sport.Y3","S101","Sport","Y3",0.5
"S103.Sport.Y3","S103","Sport","Y3",1
"S104.Sport.Y3","S104","Sport","Y3",0.333333333
"S105.Sport.Y3","S105","Sport","Y3",0.666666667
"S107.Sport.Y3","S107","Sport","Y3",1
"S108.Sport.Y3","S108","Sport","Y3",0.833333333
"S109.Sport.Y3","S109","Sport","Y3",0.5
"S110.Sport.Y3","S110","Sport","Y3",0.666666667
"S111.Sport.Y3","S111","Sport","Y3",1
"S114.Sport.Y3","S114","Sport","Y3",0.666666667
"S117.Sport.Y3","S117","Sport","Y3",0.666666667
"C101.Control.Y3","C101","Control","Y3",1
"C102.Control.Y3","C102","Control","Y3",0.5
